Team,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17
New England,1651,1656,1628,1589,1609,1617,1630,1646,1662,1671,1629,1629,1641,1657,1647,1626,1634
Philadelphia,1647,1660,1634,1639,1622,1606,1622,1599,1611,1611,1577,1559,1564,1580,1565,1596,1603
Minnesota,1602,1612,1609,1555,1541,1557,1569,1595,1568,1585,1585,1568,1580,1563,1543,1560,1586
Atlanta,1601,1588,1603,1576,1566,1538,1550,1555,1555,1590,1546,1528,1519,1493,1467,1483,1518
Pittsburgh,1596,1587,1566,1581,1547,1575,1597,1597,1603,1626,1651,1661,1630,1612,1588,1608,1602
New Orleans,1584,1549,1553,1580,1599,1615,1615,1623,1650,1669,1694,1712,1721,1703,1716,1724,1730
Kansas City,1571,1598,1619,1630,1640,1657,1644,1660,1667,1675,1680,1667,1667,1674,1681,1672,1649
Carolina,1550,1567,1552,1569,1569,1573,1551,1575,1598,1610,1584,1576,1558,1533,1508,1500,1465
Dallas,1547,1530,1539,1517,1525,1508,1541,1528,1528,1490,1524,1542,1557,1575,1591,1557,1567
Seattle,1545,1530,1507,1529,1541,1530,1551,1551,1582,1555,1544,1553,1571,1581,1601,1580,1603
L.A. Chargers,1545,1518,1545,1527,1533,1547,1566,1571,1571,1599,1611,1599,1608,1626,1631,1641,1605
Baltimore,1535,1562,1537,1553,1587,1564,1596,1588,1565,1542,1542,1551,1560,1585,1578,1588,1624
Jacksonville,1534,1549,1578,1556,1571,1554,1521,1480,1467,1467,1455,1446,1434,1453,1433,1416,1446
L.A. Rams,1530,1560,1578,1595,1609,1620,1628,1647,1651,1632,1642,1655,1655,1671,1645,1614,1627
Detriot,1524,1470,1459,1497,1489,1507,1507,1535,1504,1487,1470,1478,1458,1442,1470,1462,1436
Buffalo,1502,1476,1449,1503,1474,1480,1458,1422,1406,1347,1419,1419,1432,1418,1394,1401,1394
Tennessee,1496,1476,1484,1505,1523,1516,1483,1478,1478,1516,1558,1520,1497,1503,1523,1551,1563
Arizona,1483,1446,1428,1416,1404,1438,1426,1381,1392,1392,1387,1371,1361,1383,1355,1339,1326
Cincinnati,1475,1499,1524,1507,1517,1534,1512,1496,1506,1506,1481,1472,1427,1399,1394,1412,1395
Green Bay,1472,1477,1480,1457,1487,1469,1478,1478,1474,1465,1487,1479,1467,1445,1471,1461,1477
Washington,1472,1509,1466,1489,1489,1473,1495,1508,1523,1488,1517,1503,1488,1472,1425,1442,1431
Tampa Bay,1469,1505,1530,1515,1481,1481,1470,1476,1466,1454,1424,1411,1432,1457,1444,1434,1425
San Francisco,1469,1460,1471,1461,1454,1421,1412,1393,1382,1407,1384,1384,1363,1353,1378,1400,1389
Oakland,1465,1434,1430,1416,1424,1410,1390,1390,1359,1334,1322,1338,1329,1323,1347,1329,1363
Denver,1450,1465,1470,1454,1444,1419,1410,1456,1450,1438,1438,1450,1481,1509,1484,1473,1440
Miami,1450,1469,1497,1511,1491,1474,1486,1458,1434,1450,1427,1427,1419,1432,1443,1426,1396
Chicago,1444,1439,1462,1474,1507,1507,1495,1479,1497,1529,1546,1562,1582,1562,1588,1598,1609
N.Y. Jets,1432,1485,1457,1437,1422,1448,1462,1435,1417,1402,1356,1356,1345,1338,1362,1348,1332
N.Y. Giants,1412,1397,1388,1410,1391,1387,1370,1365,1349,1349,1372,1386,1381,1401,1448,1420,1417
Indianapolis,1407,1382,1424,1420,1400,1392,1378,1415,1445,1445,1457,1495,1503,1484,1504,1538,1541
Houston,1398,1393,1385,1363,1383,1400,1422,1463,1486,1498,1498,1512,1536,1548,1528,1542,1535
Cleveland,1302,1311,1307,1328,1320,1344,1325,1319,1313,1305,1350,1350,1395,1383,1408,1418,1435
