Week,Away,Home,Away_Win,Home_Win,host
1,Atlanta,Philadelphia,0,1,
1,Buffalo,Baltimore,0,1,
1,Cincinnati,Indianapolis,1,0,
1,Houston,New England,0,1,
1,Jacksonville,N.Y. Giants,1,0,
1,Pittsburgh,Cleveland,0,0,
1,San Francisco,Minnesota,0,1,
1,Tampa Bay,New Orleans,1,0,
1,Tennessee,Miami,0,1,
1,Kansas City,L.A. Chargers,1,0,
1,Dallas,Carolina,0,1,
1,Seattle,Denver,0,1,
1,Washington,Arizona,1,0,
1,Chicago,Green Bay,0,1,
1,N.Y. Jets,Detriot,1,0,
1,L.A. Rams,Oakland,1,0,
2,Baltimore,Cincinnati,0,1,
2,Carolina,Atlanta,0,1,
2,Cleveland,New Orleans,0,1,
2,Houston,Tennessee,0,1,
2,Indianapolis,Washington,1,0,
2,Kansas City,Pittsburgh,1,0,
2,L.A. Chargers,Buffalo,1,0,
2,Miami,N.Y. Jets,1,0,
2,Minnesota,Green Bay,0,0,
2,Philadelphia,Tampa Bay,0,1,
2,Arizona,L.A. Rams,0,1,
2,Detriot,San Francisco,0,1,
2,New England,Jacksonville,0,1,
2,Oakland,Denver,0,1,
2,N.Y. Giants,Dallas,0,1,
2,Seattle,Chicago,0,1,
3,N.Y. Jets,Cleveland,0,1,
3,New Orleans,Atlanta,1,0,
3,San Francisco,Kansas City,0,1,
3,Oakland,Miami,0,1,
3,Buffalo,Minnesota,1,0,
3,Indianapolis,Philadelphia,0,1,
3,Green Bay,Washington,0,1,
3,Cincinnati,Carolina,0,1,
3,Tennessee,Jacksonville,1,0,
3,Denver,Baltimore,0,1,
3,N.Y. Giants,Houston,1,0,
3,L.A. Chargers,L.A. Rams,0,1,
3,Chicago,Arizona,1,0,
3,Dallas,Seattle,0,1,
3,New England,Detriot,0,1,
3,Pittsburgh,Tampa Bay,1,0,
4,Minnesota,L.A. Rams,0,1,
4,Cincinnati,Atlanta,1,0,
4,Tampa Bay,Chicago,0,1,
4,Detriot,Dallas,0,1,
4,Buffalo,Green Bay,0,1,
4,Philadelphia,Tennessee,0,1,
4,Houston,Indianapolis,1,0,
4,Miami,New England,0,1,
4,N.Y. Jets,Jacksonville,0,1,
4,Cleveland,Oakland,0,1,
4,Seattle,Arizona,1,0,
4,New Orleans,N.Y. Giants,1,0,
4,San Francisco,L.A. Chargers,0,1,
4,Baltimore,Pittsburgh,1,0,
4,Kansas City,Denver,1,0,
5,Indianapolis,New England,0,1,
5,Tennessee,Buffalo,0,1,
5,Miami,Cincinnati,0,1,
5,Baltimore,Cleveland,0,1,
5,Green Bay,Detriot,0,1,
5,Jacksonville,Kansas City,0,1,
5,Denver,N.Y. Jets,0,1,
5,Atlanta,Pittsburgh,0,1,
5,N.Y. Giants,Carolina,0,1,
5,Oakland,L.A. Chargers,0,1,
